idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
6850,352541,2021,16701000000,887000000,,,1297000000,,17710000000,5688000000,2000000,2994000000,,,3648000000,,,,,,,778000000,273000000,,69000000,567000000,,557000000,2.34,2.33,238500000,239000000,660000000,-1287000000,619000000,,54000000,1640000000,390000000,,,,567000000,,412000000,377000000,,,14336000000,6769000000,336000000,,,,,,,,,,,,
6851,352541,2022,17710000000,1069000000,,,2054000000,,18553000000,5990000000,3000000,3250000000,,0,3416000000,,,,,,,740000000,275000000,,-57000000,624000000,,614000000,2.47,2.47,248400000,248700000,501000000,-951000000,488000000,,39000000,1366000000,247000000,,,,615000000,,440000000,436000000,,,14987000000,6735000000,276000000,,,,,,,,,,,,
6852,352541,2023,18553000000,1250000000,,,2363000000,,20163000000,6276000000,3000000,3509000000,,,3669000000,,,,,,,795000000,277000000,,-74000000,674000000,,659000000,2.63,2.63,250200000,250700000,582000000,-728000000,130000000,,20000000,307000000,28000000,,,,657000000,,516000000,756000000,,,16247000000,7668000000,60000000,,,,,,,,,,,,
6853,352541,2024,20163000000,1272000000,,,2304000000,,21237000000,6777000000,3000000,3756000000,,,4205000000,,,,,,,928000000,325000000,,22000000,686000000,,686000000,2.73,2.73,250900000,251200000,486000000,-933000000,431000000,,62000000,417000000,25000000,,,,166000000,,475000000,611000000,,,17157000000,8225000000,334000000,,,,,,,,,,,,
6861,1850235,2021,1964957000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6862,1850235,2022,13386695000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6863,1850235,2023,16588303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,1850235,2024,25382677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6868,1693256,2017,405066000,124655000,,70358000,46384000,,405066000,112716000,,-1043000,,221992000,535577000,,,12245000,81018000,56548000,,-68773000,13689000,,324000,-25337000,,,,,,,151999000,-38703000,-107348000,6023000,10282000,54076000,128500000,,107000000,34000000,3104000,1001000,75892000,10796000,150771000,,248867000,75000000,,,,,,,,,,,,,
6869,1693256,2018,1356368000,446516000,,292999000,185193000,,1356368000,656647000,,-17859000,,406722000,302399000,,,-44128000,254845000,34643000,,-298973000,16128000,,-524000,-1043000,,,,,,,5131000,-26955000,45560000,23736000,16305000,36290000,128500000,,298000000,,2087000,44598000,373633000,52579000,12242000,156066000,474109000,75000000,,,,,,,,,,,,,
