idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
5733,1159281,2015,534973000,121781000,,,215392000,92799000,534973000,311353000,490000,-134449000,,,1296787000,,,,1286706000,,,10081000,5227000,,1916000,,,-2340000,-0.14,-0.14,48277000,49263000,8982000,1683000,-20283000,-1010000,24638000,53766000,,,,,27022000,,,,,560000,357186000,,,,,,,,,,,,,,
5734,1159281,2016,531770000,112069000,,,243920000,103398000,531770000,310378000,494000,-177622000,,,1328075000,,,,1347255000,,,-19180000,5131000,,56385000,,,-85406000,,,48364000,,,,,-2640000,23628000,49916000,,,,,31834000,,,,,1934000,383858000,58494000,,,,,,,,,,,,,
5735,1159281,2017,509734000,129387000,,,172993000,172475000,509734000,184452000,500000,-199521000,,,344212000,,,,344966000,,,-754000,1501000,,289000,,,-2623000,,,,,,,,-2339000,14672000,14270000,,,,,9599000,,,,,467000,351929000,7872000,,,,,,,,,,,,,
5736,1159281,2018,475908000,197185000,,,218642000,112272000,475908000,164266000,505000,-220489000,,,350689000,,,,356758000,,,-6069000,978000,,91000,,,-6787000,,,,,,,,,13712000,18241000,,,,,9486000,,,,,271000,251504000,,,,,,,,,,,,,,
5737,1159281,2019,405624000,138053000,,,229693000,104762000,405624000,144994000,508000,-292636000,,,345517000,,,,352700000,,,-7183000,703000,,256000,,,-7949000,-0.58,-0.58,49624000,49624000,-25999000,12737000,-427000,,31186000,9639000,,,,,8860000,,,,,191000,243873000,,,,,,,,,,,,,,
5738,1159281,2020,345793000,143368000,,,164300000,61512000,345793000,71169000,52000,-245184000,,,355523000,,,,387360000,,,-31837000,906000,,1490000,,,-33215000,-5.8,-5.8,5005000,5005000,8335000,11694000,-91000,,49699000,12056000,23453000,,,,8165000,,,30440000,,,167247000,,,,,,,,,,,,,,
5739,1159281,2021,454206000,262308000,,,177908000,65766000,454206000,119981000,317000,-251139000,,,,,,,288821000,,,8624000,382000,,1408000,-7589000,,-17209000,-0.55,-0.55,31448000,31448000,5467000,577000,-654000,,36641000,2013000,23453000,,,,2701000,,,23454000,,,159251000,,,,,,,,,,,,,,
5740,1159281,2022,376277000,186833000,,,140907000,53780000,376277000,210532000,327000,-281064000,,,,,,,273230000,,,3663000,463000,,200000,,,3315000,0.11,0.1,31530000,31662000,27022000,-1929000,-299000,,109485000,2136000,,,,,2940000,,,37516000,,,159843000,6364000,,,,,,,,,,,,,
5744,1639068,2015,46488,,,,,,46488,46488,25427,-71162,,,,,,,73662,,,,,,,-71162,,,,,,,-56512,,98500,41988,41988,,98500,,,,,,,,,,,,,,,,,,,,,,,,
5745,1639068,2016,24895,,,20102,,,24895,24895,25427,-92755,,,,,,,20842,,,,,,,-20842,,,,,25319135,25182000,-20000,,75000,55000,55000,,75000,,,,,,,102,,,,,,,,,,,,,,,,,
5746,1639068,2017,12551,,,190220,,,12551,24895,25527,-305319,,,1800,,,,25613,,,,,,,-25613,,,,,25182500,,-30611,14416,20000,-10611,21895,,,,5364,,,,,25820,,,,,,,,,,,,,,,,,
5747,1639068,2018,1756790,,,2171982,,,1756790,-177669,25527,-542842,,,40086,,,,61707,,,61707,,,,-61707,,,,,25526500,,-77349,14416,80000,2651,3453,,,,5364,,,,,,,,,,,,,,,,,,,,,,
5748,1639068,2019,3385072,,,3973937,,,3385072,-415192,25731,-913315,,,,,,,316663,,,,,,,288309,,,,,,,-41064,-16725,75991,,2310,16725,,,,,,,,,,,,,,,,,,,,,,,,,
5749,1639068,2020,7550843,,,8307190,,,7550843,-588865,26238,-1490572,,,,,,,250311,,,-167561,,,,-217068,,,,,,,-12542,-49588,67976,,145593,,,,,,10514,,,,,,,,,,,,,,,,,,,,
5750,1639068,2021,9520719,,,10421298,,,9520719,-756347,26237,1613650,,,,,,,281777,,,90524,,,,-129367,,,0,0,26237125,26237125,-40952,-92667,32465,,144664,,,,,,22849,,,,,,,,,,,,,,,,,,,,
5751,1639068,2022,14110229,203738,,14934746,1382895,,14110229,-900579,26237,-1626509,,,,,,,388028,,,316655,288707,,,31948,,31948,0,0,26237125,26982721,98325,-114101,-21294,,203738,,,,,,12039,,,2373,,,13899891,,,,,,,,,,,,,,
5752,1639068,2023,17089666,92068,,17982243,2524044,,17089666,-896874,26237,-1698866,,,,,,,247373,,,142564,220190,,0,-47826,,,0,0,26237125,26237125,32673,-216013,102757,,,,,,,,49227,,2100,10987,,,16990815,,,,,,,,,,,,,,
5753,1639068,2024,16835820,36164,,18018592,1793854,,16835820,-997353,26237,-2120903,,,,,,,177363,,,231475,228804,,,-3727,,,0,0,26237125,26237125,146430,-106984,-43033,,,328553,,,,,56022,,2100,21250,,,16793056,,,,,,,,,,,,,,
5754,1499717,2014,3320497,844197,,2542133,1648133,,3320497,778364,123,-3669742,,582537,,,,9577,197668,,,-197668,8117,,69968,-206081,,,,,,,-94582,-907287,121500,26918,18867,1091,,,,,,,528997,596645,1467719,978901,29680,,,,,,,,,,,,,,
5755,1499717,2015,43685182,19585049,,33065772,26743511,,43685182,10036873,329,-16337118,,582537,,,,392766,806467,,,-413701,13790,,0,-427491,,-12667376,,,,,-409474,-65040,442549,-31965,262822,0,,,,,9038,,17036267,,8318637,13803305,454606,,0,,,,,,,,,,,,
5756,1499717,2016,42332255,20953697,,32830195,27548579,,42332255,8448715,44,-34407771,,1053345,,,,850000,7063503,25736000,,-1399408,450852,,-62614,-4768061,,-4768061,,,,,-1786564,-1489874,2738279,-538159,1295733,53844,,,1024000,,38450,,18759616,3816000,8319000,10568862,506005,3823000,,,,,,,,,,,,,
5757,1499717,2017,53759000,23359000,30400000,46247000,39918000,6328000,53759000,7512000,0,-44121000,,,,,,6321000,6895000,6158000,,-574000,526000,,35000,-1677000,,-1727000,-8.78,-8.99,,,787000,-1751000,1329000,798000,19000,65000,,,290000,500000,737000,,20378000,5921000,14833000,,880000,4429000,,,,,,,,,,,,,
5758,1499717,2018,86748000,37935000,,93533000,49309000,,86748000,-6785000,0,-65142000,,,,,,7326000,7883000,7123000,,-557000,502000,,5000,-3081000,,-4011000,-1.36,-1.78,,,-2775000,-20986000,28493000,-161000,650000,20000,,,0,0,760000,,33392000,4371000,15779000,,1618000,38749000,,,,,,,,,,,,,
5759,1499717,2019,96437000,37124000,,92242000,52018000,,96437000,4195000,0,-71643000,,,,,,11581000,11986000,11188000,,-405000,8386000,,152000,-1271000,,-1321000,-0.33,-1.57,,,8847000,1213000,-9700000,360000,3100000,56000,415000,,254000,2047000,798000,,32746000,3213000,27169000,,1639000,35565000,,,,,,,,,,,,,
5760,1499717,2020,88841000,28642000,,89208000,83995000,,88841000,-367000,1000,-76537000,,,,,,12118000,11368000,10491000,,750000,,,-2000,229000,,-393000,-0.06,,,,-1226000,3425000,-2855000,,,44000,4914000,,156000,1234000,877000,,26604000,,32061000,,1528000,360000,,,,,,,,,,,,,
5761,1499717,2021,88841000,28642000,,89208000,83995000,,88841000,4195000,1000,-76537000,,,,,,48309000,47686000,44317000,,623000,7628000,,335000,-4894000,,-7382000,,-0.6,149515,149515,-10840000,13460000,-4389000,,8256000,510000,775000,,650000,1220000,3369000,,26604000,1412000,320614000,,1528000,360000,,,,,,,,,,,,,
5762,1499717,2022,86884000,36155000,,102904000,56948000,,86884000,-367000,1000,-92179000,,,,,,10648000,14715000,10961000,,-4067000,2230000,,176000,-6997000,-1925000,-7600000,,-0.83,1443702,1443702,-1673000,2625000,-1218000,,2363000,95000,775000,,168000,1234000,785000,,24568000,2749000,31049000,,1066000,39943000,,,,,,,,,,,,,
5763,1499717,2023,81659000,27382000,,73306000,47432000,,81659000,23325000,1000,-101015000,,,,,,8513000,9564000,8909000,,-1051000,670000,,6000,-2324000,,,-2.61,-2.61,1752949,1752949,-2856000,1835000,-2153000,,,42000,4013000,,244000,67000,655000,,23628000,4147000,19891000,,1230000,8661000,,,,,,,,,,,,,
5764,1499717,2024,70725000,28700000,,78535000,74119000,,70725000,8353000,1000,-127056000,,,,,,7486000,8280000,7789000,,-794000,,,40000,-2855000,,-2855000,-6.3,-6.3,317712,317712,-4123000,1599000,2247000,,1498000,28000,4433000,,,,491000,,17783000,,19891000,11193000,536000,,,,,,,,,,,,,,
5765,1053092,2014,854412000000,,,810849000000,,,854412000000,39992000000,4400000000,15169000000,,3571000000,13787000000,,,,,3644000000,,,6495000000,,925000000,1879000000,,,,,,,,,,-3847000000,61376000000,,,147000000,,,,,,,7121000000,210000000,4895000000,,20193000000,,,,,,,,,,,,
5766,1053092,2015,904849000000,,,860208000000,,,904849000000,42895000000,4400000000,15877000000,,1746000000,13017000000,,,,,5163000000,,,5310000000,,795000000,-88000000,,,,,,,,,,-2198000000,68081000000,,,59000000,,,,,,,7766000000,249000000,4441000000,,25921000000,,,,,,,,,,,,
5767,1053092,2016,803931000000,,,759241000000,,,803931000000,43406000000,4400000000,12427000000,,1284000000,13345000000,,,,,3700000000,,,5327000000,,1012000000,1918000000,,,,,,,,,,24358000000,78000000000,,,10000000,,,,,,,3929000000,196000000,4439000000,,8657000000,,,,,,,,,,,,
5770,1053092,2019,772069000000,,,726075000000,,,772069000000,45296000000,4400000000,10179000000,,698000000,20965000000,,,,,7413000000,,,10369000000,,2781000000,-1255000000,,,,,,,-8470000000,9779000000,-12028000000,-11556000000,121066000000,,0,13000000,,,,,,,4056000000,219000000,4530000000,,22419000000,,,,,,,,,,,,
5774,1053092,2023,530039000000,,,481563000000,,,530039000000,47871000000,4400000000,7659000000,,605000000,23042000000,,,,,8581000000,,,3668000000,,938000000,-929000000,,,,,,,36893000000,-10139000000,179000000,,138207000000,,,11000000,,,,,,,2868000000,452000000,4106000000,,14489000000,,,,,,,,,,,,
5776,1398987,2014,7445000000,917000000,,5313000000,911000000,,7326000000,2010000000,1000000,-3607000000,,3000000,4672000000,,,,,,,,528000000,,39000000,-543000000,,,-14.41,-14.41,37700000,37700000,-103000000,-66000000,401000000,233000000,143000000,54000000,0,,,,173000000,,121000000,123000000,3299000000,,188000000,3886000000,,,,,,,,,,,,,
5777,1398987,2015,7092000000,1026000000,,5355000000,878000000,,7538000000,2179000000,1000000,-3464000000,,4000000,5289000000,,,,,,,,281000000,,-242000000,438000000,,,3.01,2.99,145400000,146600000,492000000,-102000000,-530000000,-140000000,376000000,62000000,1000000,,,,176000000,,116000000,128000000,3304000000,,205000000,3891000000,,,,,,,,,,,,,
5778,1398987,2016,7304000000,961000000,,5109000000,1605000000,,7531000000,2418000000,1000000,-3280000000,,4000000,5328000000,,,,,,,,267000000,,87000000,143000000,,,0.98,0.97,146000000,147200000,429000000,-298000000,-52000000,77000000,236000000,71000000,,,,,190000000,,141000000,139000000,3335000000,,233000000,2962000000,,,,,,,,,,,,,
5779,1398987,2017,7531000000,818000000,,4952000000,1050000000,,7421000000,2464000000,1000000,-3062000000,,5000000,5706000000,,,,,,,,231000000,,110000000,184000000,,,1.26,1.24,146500000,148100000,588000000,-211000000,-275000000,-132000000,415000000,84000000,,,,,201000000,,152000000,140000000,3477000000,,254000000,3265000000,,,,,,,,,,,,,
5780,1398987,2018,7421000000,789000000,,4715000000,955000000,,7337000000,2618000000,1000000,-2631000000,,4000000,5810000000,,,,,,,,174000000,,144000000,213000000,,,1.47,1.46,144500000,145800000,586000000,-191000000,-534000000,,227000000,87000000,,,,,202000000,,153000000,156000000,3618000000,,267000000,3221000000,,,,,,,,,,,,,
5781,1398987,2019,7290000000,768000000,,4975000000,1527000000,,7290000000,2311000000,1000000,-2507000000,,4000000,5810000000,,,,,,,,157000000,,-66000000,431000000,,,3.15,3.11,136700000,138400000,667000000,-146000000,-570000000,,225000000,90000000,,,,,166000000,,146000000,147000000,3514000000,,304000000,2800000000,,,,,,,,,,,,,
5782,1398987,2020,7290000000,1211000000,,5447000000,1146000000,,7543000000,2092000000,1000000,-2695000000,,4000000,6079000000,,,,,,,,190000000,,65000000,137000000,,,1.1,1.09,124000000,125300000,394000000,-91000000,-297000000,,235000000,105000000,,,,,195000000,,79000000,84000000,3710000000,,304000000,3211000000,,,,,,,,,,,,,
5783,1398987,2021,7543000000,944000000,,5167000000,1025000000,,6934000000,1763000000,1000000,-3055000000,,4000000,5870000000,,,,,,,,250000000,,14000000,-188000000,,,-1.65,-1.65,114200000,114200000,371000000,-128000000,-215000000,,520000000,119000000,,,,,195000000,,128000000,128000000,3712000000,,342000000,3145000000,,,,,,,,,,,,,
5784,1398987,2022,6934000000,1188000000,,5018000000,1052000000,,7210000000,2186000000,1000000,-2712000000,,6000000,6221000000,,,,,,,,246000000,,-104000000,-360000000,,,-3.13,-3.13,115200000,115200000,748000000,-90000000,-402000000,,735000000,95000000,,,,,186000000,,123000000,130000000,3460000000,,317000000,2940000000,,,,,,,,,,,,,
5785,1398987,2023,7210000000,834000000,,4616000000,1305000000,,6383000000,1764000000,1000000,-2994000000,,3000000,7983000000,,,,,,,,190000000,,133000000,343000000,,,2.95,2.85,116400000,120200000,643000000,-147000000,-275000000,,214000000,101000000,,,,,204000000,,201000000,184000000,2523000000,,310000000,2483000000,,,,,,,,,,,,,
5786,1398987,2024,6383000000,580000000,,4158000000,1207000000,,5839000000,1679000000,1000000,-3091000000,,2000000,6908000000,,,,,,,,113000000,,-68000000,-287000000,,,-2.52,-2.52,113800000,113800000,-92000000,-55000000,-376000000,,106000000,109000000,,,,,214000000,,105000000,99000000,2499000000,,317000000,2235000000,,,,,,,,,,,,,
5795,1858007,2022,98946,36446,,74126,74126,,98946,24820,144,-1054,,,,,,,,,,-1054,,,,-1054,,,1.44,0,157534,5750000,-1054,-58362500,37500,,,,25874,,184126,,,,,,,,,,,,,,,,,,,,,,
5796,1858007,2023,59327167,962464,,2025098,12598,,59327167,24820,185,-54502,,,,,,,,,,-15828,,,171120,-14654,,,1.44,1.44,157534,157534,-15828,-58362500,1886,,,,,,184126,,,,,,,,,,,,,,,,,,,,,,
5797,1858007,2024,60448458,292167,,3000878,940308,,60448458,9032988,185,-2097374,,,,,,,,,,-561790,,,171120,-247329,,,,,5750000,,-576054,-536707,445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,1613780,2017,343280000,,,,,,,,,,,,,,,,,16859000,34234000,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5802,1613780,2018,287500000,,,,,,,,,,,,,,,,,35005000,78828000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,1613780,2019,177807000,,,,,,,,,,,,,,,,,35837000,105232000,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,1613780,2020,241476000,204550000,,78539000,53999000,24541000,271725000,138872000,5645000,-798987000,,,14708000,,,,185731000,25825000,52238000,-171023000,,,610000,-172011000,,-172011000,,,,,-148347000,-5662000,207578000,,140572000,5567000,150000000,,,,,2289000,,,,48000,23151000,648000,,,,,,,,,,,,,
5805,1613780,2021,272246000,207375000,,66754000,52713000,14042000,272246000,193186000,6518000,-958543000,,,4720000,,,,45942000,,27532000,-41222000,,,3000,-40913000,,-159555000,,,,,-49683000,-930000,150611000,,193255000,816000,150000000,,,,,,,,,41000,25019000,,,,,,,,,,,,,,
5806,1613780,2022,146723000,114386000,,47449000,31397000,16052000,146723000,205491000,6538000,-258528000,,,2941000,,,,32575000,,22164000,-29634000,,,30000,-29449000,,-97809000,-1.09,-1.09,54892794,54892794,-36204000,-185000,440000,,77301000,184000,98567007000,,,,,,,,,22000,24792000,,,,,,,,,,,,,,
5807,1613780,2023,246518000,223074000,,52064000,29521000,22543000,246518000,99274000,10720000,-259578000,,,2546000,,,,19317000,,12223000,-16771000,,,87000,-16706000,,-96274000,-0.3,-0.3,54932192,54932192,-1483000,11000,-129000,,209194000,131000,98567007,,,,,,,,,10000,18146000,,,,,,,,,,,,,,
5808,1613780,2024,182986000,158915000,24071000,42799000,37339000,5461000,182986000,194453000,10720000,-238862000,,,2194000,,,,23359000,,16037000,-21165000,,,0,96274000,,-72726000,-0.22,-0.22,93970598,93970598,-20841000,42000,-14000,,141367000,111000,98567007,,,,,,,,,58000,15095000,,,,,,,,,,,,,,
5809,1465470,2014,85434,,,61602,28970,,85434,1462,9700,-586168,,,,,,,74121,,328997,,,,,-8538,,,,,,,,,,-69646,191627,,10000,,,,,,,,,,,,,,,,,,,,,,,,
5810,1465470,2015,60041,14880,,68968,23000,,60041,1462,9700,-618927,,,12862,,,-212552,1957864,,328997,-2170416,-216549,,0,-8538,,,-0.25,,9700000,,-914381,-88684,,-1650,85434,88684,10000,,,,84295,,3131,196091,,,1429178,,,,,,,,,,,,,,
5811,1465470,2016,1608924,224077,,4237731,4237731,,1608924,-2628807,8678,-26690546,,,924,,,-23164,126469,,,-149633,35083,,0,-184716,,,-0.02,,9700000,,-76103,0,,-800,11749,0,,,,617257,18234,,3203,181759,,,1373347,,,,,,,,,,,,,,
5812,1465470,2017,1352305,6158,,4842514,4842514,,1352305,-2628807,8940,-28842092,,,0,,,,1672007,,,-1672007,169700,,0,-2151546,,,-0.02,-0.02,88660101,88660101,-1205372,-35980,,-214716,220874,35980,,,,,74680,,,568806,,,1334647,,,,,,,,,,,,,,
5813,1465470,2018,1597067,312195,,3634078,2696890,,1597067,-3490209,9242,-28727774,,,0,,,,229128,,,-229128,41317,,0,-270445,,,0,0,89399012,90070074,-144697,0,470755,-2458,6158,,10000,,,,21000,,,505033,,,1274372,,,,,,,,,,,,,,
5814,1465470,2019,1645238,260179,,7904984,7024615,,1645238,-2037012,9766,-34012864,,,0,,,,423949,,,-423949,40355,,0,-439637,,,0,,92473133,,-206490,0,136488,-70002,88195,0,25000,,,,17725,0,,528538,,,1203509,,,,,,,,,,,,,,
5815,1465470,2020,1745278,178685,,4602264,3951811,,1745278,-6259746,30177,-41223445,,0,0,,,,261736,,0,-261736,68219,,0,-1097108,,-2323235,,,,,-160576,-73877,234588,135,,5376,15400,,,,17726,4200,,576028,,,1178589,,,,,,,,,,,,,,
5816,1465470,2021,2316800,1155394,,5254580,4753343,,2316800,-2855679,37975,-46427396,,-82101,0,,,,350352,,0,-350352,62488,,0,-749488,,-749488,,0,,,-471976,-297623,1496056,726457,,67623,1500000,,,,12244,,,641146,,,707808,,,,,,,,,,,,,,
5817,1465470,2022,15216943,811134,,10122642,4425511,,15216943,-2937780,56075,53683268,,-87830,0,,,,358132,,0,-358132,30026,,0,-477072,,-914864,-0.01,,501477593,,-1187035,791052,1399211,1003228,109491,126158,15000000,,,,10781,,14385,963289,,,12236557,,,,,,,,,,,,,,
5818,1465470,2023,37898607,4829141,,24881197,21846261,,37898607,-33133766,67500,-150036023,,,16640,,,33765,2238090,,196872,-2238090,,,,-2562743,,-9173066,-0.02,-0.07,501477593,608191555,-2140787,-4160944,12118553,,,,17277123,,,1715000,612275,69170,14385,2802787,,,14798103,,,,,,,,,,,,,,
5819,1465470,2024,32586968,1882371,,32660576,11221783,,32586968,-45689165,80377,-167533292,,,88061,,,88061,5640891,,176643,-5552830,,,,-2200176,,-27627175,-0.04,-0.04,675370057,675370057,-3630502,-208883,2666773,,,,,,,,,25725,17325,3510206,,6268500,15043715,,,,,,,,,,,,,,
5820,924901,2014,4515328000,,,2596873000,,,4515328000,1642359000,882000,-897849000,,276096000,,,,,,,,160442000,122039000,,,40922000,,,0.47,0.47,87742000,99996000,244706000,-232356000,25399000,37749000,20496000,,,,,,174333000,,,,2945000,,,,,,,,,,,,,,,,
5821,924901,2015,4192247000,,,2310236000,,,4192247000,1624781000,891000,-936293000,,257230000,,,,,,,,33595000,123701000,,,-14909000,,,-0.17,-0.17,87762000,99785000,198693000,-28977000,-6255000,163461000,58245000,,,,,,182766000,,,,2945000,,,,,,,,,,,,,,,,
5822,924901,2016,4053963000,,,2370255000,,,4053963000,1455676000,896000,-1115612000,,228032000,,,,,,,,88811000,112878000,,,28567000,,,0.32,0.32,88727000,100041000,,,,-192157000,221706000,,,,,17800000,172490000,,,,2945000,,,,,,,,,,,,,,,,
5823,924901,2017,4296766000,,,2570079000,,,4296766000,1527171000,897000,-1052184000,,199516000,,,,,,,,-96332000,103051000,,,-125752000,,-125752000,-1.41,-1.41,89291000,100222000,169455000,-222534000,60607000,7528000,29549000,,,,,,170402000,,,,2945000,,,,,,,,,,,,,,,,
5824,924901,2018,4957885000,,,3076954000,,,4957885000,1476295000,899000,-1096429000,,192428000,613398000,,,,,,,24797000,94889000,,,117224000,,117224000,1.31,1.3,89746000,100498000,100107000,-138207000,51243000,,28180000,,,,,30400000,186684000,,,,2945000,,,,,,,,,,,,,,,,
5825,924901,2019,5060644000,,,3033004000,,,5060644000,1486658000,903000,-1084518000,,210523000,459030000,,,,,,,,84523000,,,23185000,,5234000,0.06,0.06,90005000,100703000,196141000,-564730000,350998000,,29633000,,,,,30400000,142319000,,,,2945000,,,,,,,,,,,,,,,,
5826,924901,2020,5292798000,,,3089941000,,,5292798000,1493699000,906000,-1042629000,,205776000,371724000,,,,,,,,77594000,,,84111000,,72686000,0.8,0.8,90388000,100724000,167073000,-168154000,-17337000,,25589000,,,,,43300000,113817000,,,,2945000,,,,,,,,,,,,,,,,
5827,924901,2021,5147786000,,,3042109000,,,5147786000,1398817000,907000,-1130277000,,193563000,357202000,,,,,,,,90569000,,,111861000,,85976000,0.95,0.95,90557000,100689000,131842000,-416075000,275845000,,38096000,,,,,,133597000,,,,2945000,,,,,,,,,,,,,,,,
5828,924901,2022,4527318000,,,2556587000,,,4527318000,1281982000,909000,-1249319000,,167436000,307476000,,,,,,,,80991000,,,-51387000,,-63201000,-0.7,-0.7,90648000,100260000,85422000,28465000,-102751000,,31754000,,,,,,120455000,,,,2900000,,,,,,,,,,,,,,,,
5829,924901,2023,3920768000,,,2006200000,,,3920768000,1235685000,911000,-1301385000,,163652000,194645000,,,,,,,,47505000,,0,-119042000,,-126332000,-1.39,-1.39,90839000,99893000,56115000,446229000,-503191000,,26782000,,,,,,68506000,,,,2900000,,,,,,,,,,,,,,,,
5830,924901,2024,3241046000,,,1936494000,,,3241046000,1137478000,922000,-1418312000,,142075000,213355000,,,,,,,,66381000,,0,-52066000,,-57541000,-0.63,-0.63,91046000,100265000,66454000,220088000,-290348000,,28007000,,,,,,77903000,,,,,,,,,,,,,,,,,,,,
5831,1320461,2014,2102754000,995332000,,1482029000,570171000,,2102754000,618150000,17000,156775000,,-2578000,0,,2442014000,438888000,,281268000,94171000,103332000,,,-31531000,102804000,6764000,76730000,4.4,4.14,17444980,18520685,84401000,-117570000,-58076000,-91190000,361745000,,,,,,,179766000,365750000,355394000,133716000,,732902000,,,,,,,,,,,,,,
5832,1320461,2015,2132767000,1053998000,,1580072000,529202000,,2132767000,548966000,17000,195233000,,-252000,0,,2617804000,472738000,,293446000,103475000,142141000,,,45599000,47941000,5163000,35054000,2.39,2.24,14679369,15737564,133257000,-191084000,-23047000,-86185000,270555000,,,,,,,166531000,377032000,322422000,139701000,,716013000,,,,,,,,,,,,,,
5833,1320461,2016,2304292000,1189481000,,1689493000,681420000,,2304292000,603429000,17000,306713000,,11370000,0,,2734558000,509429000,,301724000,101982000,164508000,,,42810000,42779000,,,2.56,2.39,16695356,17896089,171049000,-157396000,49411000,82900000,184370000,,,,393125000,,,149645000,455187000,400604000,135169000,,765369000,,,,,,,,,,,,,,
5834,1320461,2017,2491702000,1296181000,,1769911000,759342000,,2491702000,697360000,17000,425972000,,24431000,0,,2755691000,587113000,,329922000,108764000,175877000,,,41218000,111880000,,,6.5,6.08,17212607,18414994,270385000,-166394000,-11590000,110973000,267270000,,,,393125000,,,146449000,460503000,475426000,149219000,,832269000,,,,,,,,,,,,,,
5835,1320461,2018,2725648000,1426741000,,1870559000,826957000,,2725648000,826569000,18000,511367000,,28520000,0,,732049000,664776000,,356647000,117791000,247104000,,,54321000,138988000,,,7.96,7.42,17459710,18730378,365471000,-198266000,-62916000,103623000,480092000,,,,393125000,,,170196000,494049000,523296000,167441000,,952178000,,,,,,,,,,,,,,
5836,1320461,2019,2623103000,1249724000,,1763601000,816349000,,2623103000,831465000,17000,420659000,,28037000,0,,,671086000,,340963000,127974000,266167000,,,71506000,137971000,,,7.76,7.35,17781272,18776653,313106000,-200622000,-75527000,35482000,515952000,,,,,,,175572000,418607000,452320000,171852000,,984241000,,,,,,,,,,,,,,
5837,1320461,2020,2635582000,1202270000,,1759600000,719925000,,2635582000,856175000,17000,617875000,,19807000,0,,,548305000,,314805000,122529000,110324000,,,-29400000,103601000,,,5.79,5.66,17894718,18290202,149388000,-382991000,-14440000,-251062000,264980000,,,,,,,143439000,423155000,426055000,143681000,,988277000,,,,,,,,,,,,,,
