idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
2222,1593548,2022,https://www.sec.gov/Archives/edgar/data/1593548/000143774923005974/ags20221231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922011136/ags20220331_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922019374/ags20220630_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922026367/ags20220930_10q.htm,
2223,1593548,2021,https://www.sec.gov/Archives/edgar/data/1593548/000143774922005866/ags20211231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774921011155/ags20210331_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774921018763/ags20210630_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774921025296/ags20210930_10q.htm,
2224,1593548,2020,https://www.sec.gov/Archives/edgar/data/1593548/000143774921004999/ags20201231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774920009835/ags20200331b_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774920016675/ags20200630_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774920022793/ags20200930_10q.htm,
2225,1593548,2019,https://www.sec.gov/Archives/edgar/data/1593548/000143774920004337/ags20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000023/a2019033110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000037/a2019063010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774919021974/ags20190816_10q.htm,
2226,1593548,2018,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000013/a2018123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354818000015/a2018033110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354818000022/a2018063010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354818000039/a2018093010q.htm,
2227,1593548,2017,https://www.sec.gov/Archives/edgar/data/1593548/000159354818000007/a2017123110k1.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000008/a201733110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000014/a201763010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000020/a2017093010q.htm,
2228,1593548,2016,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000027/a2016123110-ka.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000021/a201633110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000031/a201663010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000034/a201693010q.htm,
2229,1593548,2015,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000015/a2015123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015004258/a201533110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015006652/a201563010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015008804/a201593010q.htm,
2230,1593548,2014,https://www.sec.gov/Archives/edgar/data/1593548/000162828015002062/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000144530514002194/a201433110q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000144530514003751/a201463010q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000144530514005123/a201493010q.htm,
2231,1825962,2023,https://www.sec.gov/Archives/edgar/data/1825962/000121390024033871/ea0203843-10k_quadroacq1.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390023042083/f10q0323_quadroacq1.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390023067141/f10q0623_quadroacq1.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390023088846/f10q0923_quadroacq1.htm,
2232,1825962,2022,https://www.sec.gov/Archives/edgar/data/1825962/000121390023030446/f10k2022_quadroacq1.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390022024767/f10q0322_kismetacq2.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390022047722/f10q0622_kismetacq2.htm,https://www.sec.gov/Archives/edgar/data/1825962/000121390023030441/f10q0922a1_quadroacq1.htm,
