idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
70,0000019617,2017,2351698000000,,,2236782000000,,,2490972000000,247573000000,4105000000,162440000000,,,93543000000,,,,,,,,7463000000,,6260000000,24442000000,,22651000000,6.05,6,3741200000,3773600000,73466000000,106980000000,-187511000000,-7341000000,,,,7873000000,,,,,,,47647000000,,14131000000,,34443000000,,,,,,,,,,,,
71,0000019617,2018,2490972000000,,,2277907000000,,,2533600000000,254190000000,4105000000,177676000000,,,96569000000,,,,,,,,9818000000,,9803000000,24733000000,,22834000000,6.24,6.19,3658800000,3690000000,21884000000,-89202000000,98271000000,29471000000,361683000000,,,8476000000,,,,,,,47325000000,,14159000000,,51802000000,,,,,,,,,,,,
72,0000019617,2019,2533600000000,,,2366017000000,,,2622532000000,255693000000,4105000000,199202000000,,,100705000000,,,,,,,,13874000000,,11459000000,24441000000,,22567000000,6.35,6.31,3551600000,3576800000,-10827000000,28249000000,14642000000,,,,,8993000000,,,,,,,47288000000,,14934000000,,69276000000,,,,,,,,,,,,
73,0000019617,2020,2622532000000,,,2426049000000,,,2687379000000,256515000000,4105000000,223211000000,,,108783000000,,,,,,,,21041000000,,8290000000,32474000000,,30709000000,9.04,9,3396400000,3414000000,15614000000,-199420000000,34158000000,,,,,10109000000,,,,,,,47507000000,,25813000000,,40920000000,,,,,,,,,,,,
74,0000019617,2021,2686477000000,,,3105403000000,,,3384757000000,261330000000,4105000000,236990000000,,,115720000000,,,,,,,,26795000000,,8435000000,36431000000,,34642000000,10.75,10.72,3221500000,3230400000,4092000000,-52059000000,32987000000,,,,,12343000000,,,,,,,47471000000,,27109000000,,45208000000,,,,,,,,,,,,
75,0000019617,2022,3384757000000,,,3449440000000,,,3743567000000,279354000000,4105000000,272268000000,,,119951000000,,,,,,,,9960000000,,6684000000,29131000000,,27410000000,8.89,8.88,3082400000,3087400000,-79910000000,-261912000000,596645000000,,,,,12690000000,,,,,,,47823000000,,27070000000,,53594000000,,,,,,,,,,,,
76,0000019617,2023,3743567000000,,,3373411000000,,,3665743000000,294127000000,4105000000,296456000000,,,121649000000,,,,,,,,5553000000,,11228000000,48334000000,,46503000000,15.39,15.36,3021500000,3026600000,78084000000,-129344000000,275993000000,,,,,12858000000,,,,,,,49248000000,,27734000000,,44027000000,,,,,,,,,,,,
77,0000019617,2024,3665743000000,,,3547515000000,,,3875393000000,292332000000,4105000000,332901000000,,,128695000000,,,,,,,,16293000000,,8490000000,37676000000,,35892000000,12.1,12.09,2965800000,2970000000,107119000000,-137819000000,-126257000000,,,,,13562000000,,,,,,,50315000000,,,,44712000000,,,,,,,,,,,,
78,0000003197,2014,348536000,124772000,,178130000,59333000,,348536000,42990000,257000,11911000,,,,135052000,92609000,42443000,,25429000,,16683000,1168000,,4513000,10850000,,,0.73,0.65,14813186,17246058,,,,10270000,12724000,273000,,,,,,25376000,44364000,,19548000,,21665000,79160000,,,,,,,,,,,,,
79,0000003197,2015,414365000,142967000,,233141000,75351000,,414365000,181224000,264000,19051000,,6000000,,197317000,37441000,61555000,,37098000,,6972000,1499000,,-102000,6557000,,198000,0.33,0.32,20116991,20719951,,,,-333000,22294000,1377000,,,,,,23416000,58394000,,134062000,,18961000,103541000,,,,,,,,,,,,,
80,0000003197,2016,598819000,228456000,,353798000,148173000,,598819000,239153000,340000,5472000,,5868000,,263217000,,84823000,,51440000,,21663000,3138000,,3137000,13077000,,198000,0.51,0.5,25750972,26196901,,,,-3799000,21961000,1151000,,,101966000,,,32509000,97778000,,165861000,,44981000,157834000,,,,,,,,,,,,,
81,0000003197,2017,498634000,212978000,,308552000,146358000,,498634000,190082000,343000,-41741000,,,,367422000,,109171000,,67329000,,4949000,5964000,,2638000,-5602000,,3100000,-0.19,-0.19,28791662,28791662,,,,16032000,18162000,763000,,,3215000,,,21487000,83062000,,220163000,,27270000,114366000,,,,,,,,,,,,,
